Ray_ID,rho_X,rho_Y,Surf_num,Ray_L,Ray_M,Ray_N,Surf_L,Surf_M,Surf_N,Index_in,Index_out
18,-0.353553391,-0.707106781,9,0.998141043,0.027256042,0.054512083,-1,0,0,1,1
18,-0.353553391,-0.707106781,10,0.998141043,0.027256042,0.054512083,-1,0,0,1,1
19,-0.353553391,-0.530330086,1,-0.045304995,-0.067957492,0.996659037,0,0,-1,1,1
19,-0.353553391,-0.530330086,2,-0.045304995,-0.067957492,0.996659037,-0.062293186,-0.093439779,-0.993674276,1,1.518522388
19,-0.353553391,-0.530330086,3,-0.008297649,-0.012446474,0.999888111,0.075993331,0.113989997,-0.990571196,1.518522388,1
19,-0.353553391,-0.530330086,4,0.027258801,0.040888201,0.998791827,0,0.707106781,-0.707106781,1,1
19,-0.353553391,-0.530330086,5,0.027258801,0.040888201,0.998791827,0,0.707106781,-0.707106781,1,1
19,-0.353553391,-0.530330086,6,0.027258801,0.998791827,0.040888201,0,1,0,1,1
19,-0.353553391,-0.530330086,7,0.027258801,0.998791827,0.040888201,0.707106781,-0.707106781,0,1,1
19,-0.353553391,-0.530330086,8,0.027258801,0.998791827,0.040888201,0.707106781,-0.707106781,0,1,1
19,-0.353553391,-0.530330086,9,0.998791827,0.027258801,0.040888201,-1,0,0,1,1
19,-0.353553391,-0.530330086,10,0.998791827,0.027258801,0.040888201,-1,0,0,1,1
20,-0.353553391,-0.353553391,1,-0.045363226,-0.045363226,0.997940056,0,0,-1,1,1
20,-0.353553391,-0.353553391,2,-0.045363226,-0.045363226,0.997940056,-0.063177567,-0.063177567,-0.996000597,1,1.518522388
20,-0.353553391,-0.353553391,3,-0.008131856,-0.008131856,0.999933871,0.075877434,0.075877434,-0.994225945,1.518522388,1
20,-0.353553391,-0.353553391,4,0.027273363,0.027273363,0.999255887,0,0.707106781,-0.707106781,1,1
20,-0.353553391,-0.353553391,5,0.027273363,0.027273363,0.999255887,0,0.707106781,-0.707106781,1,1
20,-0.353553391,-0.353553391,6,0.027273363,0.999255887,0.027273363,0,1,0,1,1
20,-0.353553391,-0.353553391,7,0.027273363,0.999255887,0.027273363,0.707106781,-0.707106781,0,1,1
20,-0.353553391,-0.353553391,8,0.027273363,0.999255887,0.027273363,0.707106781,-0.707106781,0,1,1
20,-0.353553391,-0.353553391,9,0.999255887,0.027273363,0.027273363,-1,0,0,1,1
20,-0.353553391,-0.353553391,10,0.999255887,0.027273363,0.027273363,-1,0,0,1,1
21,-0.353553391,-0.176776695,1,-0.045398273,-0.022699136,0.998711042,0,0,-1,1,1
21,-0.353553391,-0.176776695,2,-0.045398273,-0.022699136,0.998711042,-0.063725987,-0.031862993,-0.997458645,1,1.518522388
21,-0.353553391,-0.176776695,3,-0.00802905,-0.004014525,0.999959708,0.075805617,0.037902808,-0.99640197,1.518522388,1
21,-0.353553391,-0.176776695,4,0.027287314,0.013643657,0.999534518,0,0.707106781,-0.707106781,1,1
21,-0.353553391,-0.176776695,5,0.027287314,0.013643657,0.999534518,0,0.707106781,-0.707106781,1,1
21,-0.353553391,-0.176776695,6,0.027287314,0.999534518,0.013643657,0,1,0,1,1
21,-0.353553391,-0.176776695,7,0.027287314,0.999534518,0.013643657,0.707106781,-0.707106781,0,1,1
21,-0.353553391,-0.176776695,8,0.027287314,0.999534518,0.013643657,0.707106781,-0.707106781,0,1,1
21,-0.353553391,-0.176776695,9,0.999534518,0.027287314,0.013643657,-1,0,0,1,1
21,-0.353553391,-0.176776695,10,0.999534518,0.027287314,0.013643657,-1,0,0,1,1
22,-0.353553391,0,1,-0.045409973,0,0.998968435,0,0,-1,1,1
22,-0.353553391,0,2,-0.045409973,0,0.998968435,-0.063911883,0,-0.997955546,1,1.518522388
22,-0.353553391,0,3,-0.007994207,0,0.999968046,0.075781286,0,-0.997124464,1.518522388,1
22,-0.353553391,0,4,0.027292853,0,0.999627481,0,0.707106781,-0.707106781,1,1
22,-0.353553391,0,5,0.027292853,0,0.999627481,0,0.707106781,-0.707106781,1,1
22,-0.353553391,0,6,0.027292853,0.999627481,0,0,1,0,1,1
22,-0.353553391,0,7,0.027292853,0.999627481,0,0.707106781,-0.707106781,0,1,1
22,-0.353553391,0,8,0.027292853,0.999627481,0,0.707106781,-0.707106781,0,1,1
22,-0.353553391,0,9,0.999627481,0.027292853,0,-1,0,0,1,1
22,-0.353553391,0,10,0.999627481,0.027292853,0,-1,0,0,1,1
23,-0.353553391,0.176776695,1,-0.045398273,0.022699136,0.998711042,0,0,-1,1,1
